Venue,Normalized Name,Example Name,Count,Percentage,Category
SweSauna,saunagus session.,Saunagus Session.,10,25.6,Medium Frequency (Recurring Event)
SweSauna,aufguss session.,Aufguss Session.,6,15.4,Medium Frequency (Recurring Event)
SweSauna,traditional li pirtis ritual with birch house rituals.,Traditional Lithuanian Pirtis Ritual with Birch House Rituals.,5,12.8,Medium Frequency (Recurring Event)
SweSauna,aufguss session. (textile-free),Aufguss Session. (Textile-Free),5,12.8,Medium Frequency (Recurring Event)
SweSauna,the super ritual.,The Supernova Ritual.,2,5.1,Low Frequency (Special Event)
SweSauna,german style sauna.,German Style Sauna.,2,5.1,Low Frequency (Special Event)
SweSauna,sweheat birthday bash!,Sweheat Birthday Bash!,1,2.6,Low Frequency (Special Event)
SweSauna,rekindling - sauna social and supper club.,Rekindling - Sauna Social and Supper Club.,1,2.6,Low Frequency (Special Event)
SweSauna,sparkling sauna - li sauna ritual.,Sparkling Sauna - Lithuanian Sauna Ritual.,1,2.6,Low Frequency (Special Event)
SweSauna,mythic sauna: halloween special.,Mythic Sauna: Halloween Special.,1,2.6,Low Frequency (Special Event)
SweSauna,let’s glow - nye party,Let’s Glow - NYE Party,1,2.6,Low Frequency (Special Event)
SweSauna,lange saunanacht.,Lange Saunanacht.,1,2.6,Low Frequency (Special Event)
SweSauna,full moon sauna and sound cere.,Full Moon Sauna and Sound Ceremony.,1,2.6,Low Frequency (Special Event)
SweSauna,mythic sauna: the love story.,Mythic Sauna: The Love Story.,1,2.6,Low Frequency (Special Event)
SweSauna,transient radio – deep listening evening.,Transient Radio – Deep Listening Evening.,1,2.6,Low Frequency (Special Event)
Arc Community,free flow 70,Free Flow 70,96,61.1,High Frequency (Standard Session)
Arc Community,energise - stretch & recover,Energise - Stretch & Recover,11,7.0,Medium Frequency (Recurring Event)
Arc Community,ground - breathe & ground,Ground - Breathe & ground,5,3.2,Medium Frequency (Recurring Event)
Arc Community,relax - letting go,Relax - Letting Go,4,2.5,Low Frequency (Special Event)
Arc Community,ground - dopamine reset,Ground - Dopamine Reset,4,2.5,Low Frequency (Special Event)
Arc Community,lively - free flow 120,Lively - Free Flow 120,4,2.5,Low Frequency (Special Event)
Arc Community,arc after dark,Arc After Dark,4,2.5,Low Frequency (Special Event)
Arc Community,arc birthday: arc after dark,Arc Birthday: Arc After Dark,4,2.5,Low Frequency (Special Event)
Arc Community,energise - morning warrior,Energise - Morning Warrior,3,1.9,Low Frequency (Special Event)
Arc Community,silent free flow 50,Silent Free Flow 50,3,1.9,Low Frequency (Special Event)
Arc Community,ground - in to yin,Ground - In To Yin,2,1.3,Low Frequency (Special Event)
Arc Community,energise - happiness hack,Energise - Happiness Hack,2,1.3,Low Frequency (Special Event)
Arc Community,free flow 50,Free Flow 50,2,1.3,Low Frequency (Special Event)
Arc Community,relax - restorative sound bath,Relax - Restorative sound bath,2,1.3,Low Frequency (Special Event)
