Name,Address,Description,watchlist_ind,n_dry_saunas,n_steam_rooms,sauna_types,tags,venue_primary_function,cold_immersion_setup,showers_available,url
Abbey Leisure Centre,"Bobby Moore Way, Barking IG11 7HW","High-spec ""The Abbey Spa"" within the leisure centre. Features a dedicated thermal suite.",,1,3,"[Rock, Aromatherapy, Crystal, Salt]","[Public, Luxury, Wellness, Social]",Gym / Leisure Centre,Ice feature / Ice chute,TRUE,https://www.everyoneactive.com/centre/abbey-leisure-centre/
Albany Leisure Centre,"505 Hertford Rd, EN3 5XH","Reliable ""Better"" health suite featuring a standard sauna and steam room for public use.",,1,1,[Finnish],"[Public, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/enfield/albany-leisure-centre
Arc Canary Wharf,"1 Crossrail Place, E14 5AR",Premier contrast therapy venue featuring the UK's largest communal sauna (65-person) and structured classes.,1,1,0,"[Finnish, High-Heat]","[Social, Boutique, Contrast-Focus, High-Heat]",Recovery Hub,8 custom double ice baths,TRUE,https://www.arc-community.com/canary-wharf
Archway Leisure Centre,"Macdonald Rd, N19 5DD","Public ""Better"" health suite with a high-heat dry sauna and steam room, refurbished in 2023.",,1,1,[Finnish],"[Public, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/islington/archway
Aura Organic Spa,"21 East Bay Lane, E15 2GW","Luxury private-hire boutique spa in Here East. Features organic rituals and a ""Movie Night"" package with a 100-inch screen.",,1,1,"[Infrared, Herbal Steam]","[Private, Boutique, Luxury, Wellness]",Boutique Spa,,TRUE,https://www.auraorganicsspa.com/privatespa
Aura Organics Spa,"(Border) Hackney Bridge, E15",Verified 2026: This entry refers to the same flagship Hackney Wick location at 21 East Bay Lane. Focuses on infrared heat and herbal steam with an organic wellness focus.,,1,1,"[Infrared, Herbal Steam]","[Private, Boutique, Wellness]",Boutique Spa,,TRUE,https://www.auraorganicsspa.com/
Balham Leisure Centre,"Elmfield Rd, SW17 8AL",Verified 2026: Reopened in Jan 2026 following a major refurb. Features a brand new poolside health suite with modern sauna and steam facilities.,,1,1,[Finnish],"[Public, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.placesleisure.org/centres/balham-leisure-centre/
Bannatyne Bexleyheath,"71-75 Broadway, DA6 7JN",Verified 2026: Features a large 20m pool and a robust health suite. Known for its high-heat steam room alongside the dry sauna.,,1,1,[Finnish],"[Private, Wellness, Athletic]",Gym / Leisure Centre,,TRUE,https://www.bannatyne.co.uk/health-club/bexleyheath
Bannatyne Chingford,"2 Morrison Ave, Larkswood Park, E4 8SA","Verified 2026: Flagship site for the area. Features a pool-side sauna, steam room, and a luxury spa pool. Known as the primary ""Adults Only"" spa atmosphere for the border crowd.",,1,1,[Finnish],"[Private, Wellness, Luxury]",Gym / Leisure Centre,,TRUE,https://www.bannatyne.co.uk/health-club/chingford
Bannatyne Chingford,"Larkswood Park, E4 8YS","Verified 2026: Same location as above. Features include a heated pool, sauna, steam room, and relaxation room with heated stone loungers.",,1,1,[Finnish],"[Private, Wellness, Luxury]",Gym / Leisure Centre,,TRUE,https://www.bannatyne.co.uk/health-club/chingford
Bannatyne Chingford,"Unit 4, Larkswood Park, E4",Verified 2026: Consistent with other entries for this site. High-spec commercial spa with pool-side heat facilities and Technogym-equipped fitness floor.,,1,1,[Finnish],"[Private, Wellness, Luxury]",Gym / Leisure Centre,,TRUE,https://www.bannatyne.co.uk/health-club/chingford
Bannatyne Health Club,"Purley Way, Croydon CR0 4UZ","Verified 2026: Often referred to as the Wallington/Sutton border site. Features a large 20m pool and a luxurious health suite with sauna, steam, and spa pool.",,1,1,[Finnish],"[Private, Wellness, Athletic]",Gym / Leisure Centre,,TRUE,https://www.bannatyne.co.uk/health-club/waddon
Bannatyne Health Club,"Lowlands Rd, Harrow HA1 3AN","Premium facility with a heated swimming pool, sauna, and steam room. Recently upgraded CV equipment in Dec 2025.",,1,1,[Finnish],"[Private, Wellness, Athletic]",Gym / Leisure Centre,,TRUE,https://www.bannatyne.co.uk/health-club/harrow
Bannatyne Wimbledon,"Quicks Rd, SW19 1EY","Verified 2026: Features a high-capacity sauna, steam room, and a 20m pool. Reliable for post-work recovery.",,1,1,[Finnish],"[Private, Wellness, Athletic]",Gym / Leisure Centre,,TRUE,https://www.bannatyne.co.uk/health-club/wimbledon
Becontree Heath Leisure,"Althorne Wy., Dagenham RM10 7FH",Everyone Active site featuring a recently refurbished poolside health suite with standard thermal facilities.,,1,1,[Finnish],"[Public, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.everyoneactive.com/centre/becontree-heath-leisure-centre/
Bellingham Leisure Centre,"5 Randlesdown Rd, SE6 3BT","Community ""Better"" hub. Features a standard health suite with a sauna and steam room accessible to members and day-pass users.",,1,1,[Finnish],"[Public, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/lewisham/bellingham-leisure-and-lifestyle-centre
Benjawan Thai Therapy,"104 Stroud Green Rd, N4",Boutique high-street wellness center. Offers a dedicated dry sauna for standalone sessions or as a pre-treatment ritual.,,1,0,[Finnish],"[Private, Boutique, Wellness]",Boutique Spa,,TRUE,https://www.benjawan-thaimassage.co.uk/
bhuti,"Bingham Riverhouse, TW10",Eco-conscious wellness space. Features a serene riverside environment with both infrared and traditional wood saunas.,,2,0,"[Infrared, Wood-Fired]","[Boutique, Luxury, Wellness, Social, Contrast-Focus]",Boutique Spa,1 plunge pool / ice bath,TRUE,https://www.binghamriverhouse.com/bhuti
Bingham Riverhouse,"61-63 Petersham Rd, TW10","Boutique hotel wellness space (bhuti). Offers a small-capacity infrared sauna session (30-min) and a traditional sauna as part of ""Nourish & Renew"" retreats.",,2,0,"[Infrared, Wood-Fired]","[Boutique, Luxury, Wellness, Social, Contrast-Focus]",Boutique Spa,1 plunge pool / ice bath,TRUE,https://www.binghamriverhouse.com/rest/nourish-renew-retreat/
Blissful Float Spa,"31 Fife Road, Kingston KT1 1SF",Recovery hub specialized in floatation therapy and full-spectrum infrared sauna sessions.,,1,0,[Infrared],"[Boutique, Wellness, Private]",Recovery Hub,,TRUE,https://www.blissfulfloatspa.com/
Blocspa Brixton,"Arch 267, 241 Coldharbour Ln, SW9","Located inside BlocFit climbing gym. Features a ""Scandi-style"" high-heat Finnish sauna and dedicated cold plunge pools.",,1,0,[Finnish],"[Athletic, Social, Boutique, Contrast-Focus]",Climbing Gym,1 tiled plunge pool,TRUE,https://www.blocfit.co.uk/sauna
BodyWell,"18 Willesden Ln, NW6 7SR","Independent wellness center offering a unisex high-heat dry sauna, often paired with massage or body scrub treatments.",,1,0,[Finnish],"[Boutique, Wellness, Private]",Boutique Spa,,TRUE,https://bodywell.co/sauna/
